lat,lon,year,coverage,source
32.003333,-119.238333,2000,1.000000,calcofi
32.083333,-120.646666,2000,1.000000,calcofi
32.086666,-120.631666,2000,1.000000,calcofi
32.176666,-118.891666,2000,1.000000,calcofi
32.185000,-118.885000,2000,1.000000,calcofi
32.190000,-118.880000,2000,1.000000,calcofi
32.351666,-118.546666,2000,1.000000,calcofi
32.415000,-119.963333,2000,1.000000,calcofi
32.420000,-119.963333,2000,1.000000,calcofi
32.511666,-118.216666,2000,1.000000,calcofi
32.650000,-119.486666,2000,1.000000,calcofi
32.680000,-117.880000,2000,1.000000,calcofi
32.908333,-117.403333,2000,1.000000,calcofi
32.908333,-117.398333,2000,1.000000,calcofi
32.916666,-118.938333,2000,1.000000,calcofi
32.918333,-118.936666,2000,1.000000,calcofi
32.923333,-118.940000,2000,1.000000,calcofi
32.956666,-117.305000,2000,1.000000,calcofi
32.958333,-117.303333,2000,1.000000,calcofi
32.958333,-117.303333,2000,1.000000,calcofi
32.986666,-120.356666,2000,1.000000,calcofi
32.988333,-120.363333,2000,1.000000,calcofi
32.990000,-120.348333,2000,1.000000,calcofi
33.158333,-120.008333,2000,1.000000,calcofi
33.181666,-118.386666,2000,1.000000,calcofi
33.188333,-118.393333,2000,1.000000,calcofi
33.253333,-118.248333,2000,1.000000,calcofi
33.256666,-118.255000,2000,1.000000,calcofi
33.323333,-119.666666,2000,1.000000,calcofi
33.323333,-119.663333,2000,1.000000,calcofi
33.323333,-119.663333,2000,1.000000,calcofi
33.418333,-117.908333,2000,1.000000,calcofi
33.418333,-117.905000,2000,1.000000,calcofi
33.418333,-117.905000,2000,1.000000,calcofi
33.421666,-117.906666,2000,1.000000,calcofi
33.483333,-117.766666,2000,1.000000,calcofi
33.485000,-117.768333,2000,1.000000,calcofi
33.496666,-119.320000,2000,1.000000,calcofi
33.576666,-120.763333,2000,1.000000,calcofi
33.576666,-120.750000,2000,1.000000,calcofi
33.578333,-120.755000,2000,1.000000,calcofi
33.578333,-120.751666,2000,1.000000,calcofi
33.648333,-118.978333,2000,1.000000,calcofi
33.660000,-118.978333,2000,1.000000,calcofi
33.743333,-120.420000,2000,1.000000,calcofi
33.745000,-120.413333,2000,1.000000,calcofi
33.746666,-120.413333,2000,1.000000,calcofi
33.828333,-118.635000,2000,1.000000,calcofi
33.873333,-120.138333,2000,1.000000,calcofi
33.878333,-120.141666,2000,1.000000,calcofi
33.886666,-118.496666,2000,1.000000,calcofi
33.890000,-118.493333,2000,1.000000,calcofi
33.890000,-118.493333,2000,1.000000,calcofi
34.176666,-119.508333,2000,1.000000,calcofi
34.180000,-119.526666,2000,1.000000,calcofi
34.181666,-119.511666,2000,1.000000,calcofi
34.220000,-119.411666,2000,1.000000,calcofi
34.223333,-119.411666,2000,1.000000,calcofi
34.223333,-119.410000,2000,1.000000,calcofi
34.273333,-120.030000,2000,1.000000,calcofi
34.273333,-120.026666,2000,1.000000,calcofi
34.315000,-120.805000,2000,1.000000,calcofi
34.316666,-120.795000,2000,1.000000,calcofi
34.333333,-120.813333,2000,1.000000,calcofi
34.448333,-120.525000,2000,1.000000,calcofi
34.448333,-120.523333,2000,1.000000,calcofi
34.450000,-120.525000,2000,1.000000,calcofi
34.456666,-120.526666,2000,1.000000,calcofi
32.005000,-119.240000,2001,1.000000,calcofi
32.016666,-119.233333,2001,1.000000,calcofi
32.016666,-119.228333,2001,1.000000,calcofi
32.081666,-120.638333,2001,1.000000,calcofi
32.175000,-118.893333,2001,1.000000,calcofi
32.176666,-118.893333,2001,1.000000,calcofi
32.178333,-118.891666,2001,1.000000,calcofi
32.346666,-118.551666,2001,1.000000,calcofi
32.353333,-118.561666,2001,1.000000,calcofi
32.410000,-119.958333,2001,1.000000,calcofi
32.421666,-119.960000,2001,1.000000,calcofi
32.510000,-118.210000,2001,1.000000,calcofi
32.515000,-118.210000,2001,1.000000,calcofi
32.650000,-119.483333,2001,1.000000,calcofi
32.655000,-119.480000,2001,1.000000,calcofi
32.675000,-117.881666,2001,1.000000,calcofi
32.681666,-117.873333,2001,1.000000,calcofi
32.683333,-117.875000,2001,1.000000,calcofi
